"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"V1642",10,9,8,8,5,6,10,3,8,2
"V1643",6,4,3,10,5,7,6,2,3,5
"V1644",2,10,8,9,3,8,5,2,10,5
"V1645",9,4,10,6,8,10,8,3,9,8
"V1646",8,8,8,9,9,2,8,7,9,6
"V1647",10,6,8,6,5,4,10,6,1,5
"V1648",10,6,6,3,6,7,1,10,3,1
"V1649",8,10,8,4,1,7,10,5,7,1
"V1650",3,8,4,8,9,3,6,2,5,6
"V1651",6,1,8,10,1,6,6,2,7,9
"V1652",4,7,5,8,7,5,3,2,4,8
"V1653",4,4,10,4,1,5,7,9,1,2
"V1654",8,5,4,9,9,2,4,9,8,6
"V1655",1,6,8,2,9,8,6,1,10,1
"V1656",3,9,1,10,5,4,8,2,3,10
"V1657",1,10,2,1,5,6,4,9,4,7
"V1658",8,4,10,3,3,2,10,7,2,7
"V1659",8,3,7,9,3,4,5,8,7,3
"V1660",2,3,6,10,8,7,5,3,4,9
"V1661",9,6,2,3,7,7,10,7,10,7
"V1662",8,7,1,5,5,9,4,7,10,10
"V1663",4,1,3,3,10,1,6,7,10,4
"V1664",4,6,3,8,5,3,6,9,5,1
"V1665",7,8,8,4,9,8,2,10,4,3
"V1666",4,4,1,8,10,8,4,7,5,1
"V1667",6,3,6,9,7,2,4,2,6,4
"V1668",6,7,9,4,2,10,2,1,3,10
"V1669",5,6,10,4,1,4,1,10,7,6
"V1670",9,5,9,8,9,5,6,2,2,1
"V1671",10,2,2,8,7,4,1,6,8,6
"V1672",2,10,2,5,1,1,5,6,4,1
"V1673",8,8,9,10,4,4,3,5,1,1
"V1674",4,1,7,8,10,2,1,3,3,5
"V1675",8,1,9,8,5,7,10,6,6,8
"V1676",8,5,4,2,1,1,4,8,8,10
"V1677",8,9,4,4,7,7,2,7,4,2
"V1678",6,4,1,10,10,9,9,9,8,6
"V1679",7,9,7,5,6,6,8,9,7,5
"V1680",9,8,7,6,1,7,10,8,8,5
"V1681",1,1,3,2,4,10,9,4,2,7
"V1682",8,10,9,8,8,4,1,2,8,8
"V1683",7,6,1,7,4,8,8,2,7,1
"V1684",2,1,7,7,8,7,1,1,10,2
"V1685",7,3,5,7,3,8,6,5,6,10
"V1686",8,10,3,3,10,2,2,5,3,4
"V1687",9,7,5,7,7,10,5,10,9,10
"V1688",6,8,3,4,3,9,6,9,4,5
"V1689",9,3,6,10,4,6,6,10,9,10
"V1690",7,8,4,10,2,1,4,8,8,2
"V1691",10,4,10,7,5,4,6,3,1,8
"V1692",8,9,5,9,5,5,9,2,3,1
"V1693",8,9,2,9,5,8,2,4,10,6
"V1694",9,9,1,9,1,5,8,8,8,9
"V1695",6,3,3,2,9,1,3,2,3,6
"V1696",4,1,8,6,5,3,6,5,9,5
"V1697",9,1,6,2,6,6,8,8,9,2
"V1698",2,2,2,3,1,6,5,2,3,2
"V1699",10,7,4,7,10,9,4,2,2,1
"V1700",9,3,7,1,8,8,10,3,2,10
"V1701",5,6,3,1,1,6,10,9,3,8
"V1702",3,10,10,6,4,9,10,5,6,4
"V1703",10,2,8,10,4,9,6,3,1,6
"V1704",8,8,2,5,8,6,6,7,7,3
"V1705",2,5,1,4,6,4,7,2,8,8
"V1706",7,9,4,5,4,1,8,6,6,5
"V1707",7,1,1,3,6,8,6,6,3,3
"V1708",9,10,2,4,3,3,7,5,9,9
"V1709",6,3,3,8,3,4,7,1,4,6
"V1710",4,2,7,9,5,3,6,1,10,3
"V1711",1,9,4,7,8,2,6,2,6,3
"V1712",3,8,6,4,1,3,3,9,1,10
"V1713",4,3,3,4,10,8,5,2,10,1
"V1714",6,4,4,2,9,2,2,10,1,8
"V1715",7,1,5,1,5,9,6,8,3,2
"V1716",10,8,7,8,5,9,10,8,3,10
"V1717",6,3,4,4,6,8,3,7,4,7
"V1718",5,4,2,6,3,7,2,7,4,1
"V1719",7,7,8,3,4,6,8,8,4,1
"V1720",7,2,8,2,5,10,10,10,1,1
"V1721",1,8,1,1,3,10,1,2,10,6
"V1722",8,2,3,10,10,2,8,1,1,10
"V1723",9,7,1,9,8,8,6,8,3,7
"V1724",7,3,7,1,7,2,5,1,3,3
"V1725",5,4,8,8,9,2,4,8,6,10
"V1726",5,6,3,5,4,3,10,8,1,8
"V1727",5,7,10,9,5,5,4,6,4,10
"V1728",8,8,6,7,8,5,3,4,7,1
"V1729",5,5,2,6,6,2,9,8,10,7
"V1730",10,2,7,2,3,5,2,6,9,3
"V1731",9,5,1,10,5,6,7,2,5,2
"V1732",1,9,3,3,2,5,6,7,2,10
"V1733",5,9,6,5,5,1,2,10,9,6
"V1734",8,4,4,6,6,1,8,8,7,7
"V1735",10,8,6,6,7,2,9,5,5,6
"V1736",3,3,6,8,8,5,8,1,6,10
"V1737",8,2,3,10,6,8,7,4,6,5
"V1738",6,3,3,1,5,8,2,10,1,3
"V1739",1,4,2,10,1,9,2,4,9,1
"V1740",9,2,5,6,6,8,7,8,7,7
"V1741",2,5,8,7,10,5,7,2,3,9
"V1742",3,5,9,9,8,9,9,7,4,6
"V1743",6,9,3,8,4,10,2,6,2,6
"V1744",10,10,2,2,3,5,1,10,4,9
"V1745",3,4,4,4,2,5,8,3,5,3
"V1746",8,3,4,10,1,9,7,1,5,7
"V1747",9,2,5,2,8,9,7,3,8,2
"V1748",9,8,4,8,9,9,6,6,9,9
"V1749",9,5,2,7,8,6,10,1,2,5
"V1750",3,3,6,8,2,7,8,6,4,8
"V1751",7,6,1,9,1,9,9,10,4,1
"V1752",7,7,2,2,6,2,1,8,3,7
"V1753",2,9,6,2,3,6,3,8,3,2
"V1754",8,4,6,9,6,10,6,1,7,8
"V1755",8,8,5,5,7,9,9,7,5,2
"V1756",1,9,9,7,4,6,10,7,7,9
"V1757",6,2,8,8,6,7,5,1,6,3
"V1758",3,1,10,2,8,8,2,7,6,7
"V1759",6,8,3,1,2,2,7,6,7,1
"V1760",5,7,5,10,7,9,8,2,5,5
"V1761",2,10,9,6,1,6,3,9,6,4
"V1762",7,9,7,10,8,3,10,9,2,5
"V1763",2,1,5,6,5,7,3,8,7,4
"V1764",9,5,2,2,6,5,6,4,1,8
"V1765",8,6,8,1,8,1,8,6,1,10
"V1766",1,6,1,10,7,8,5,9,7,10
"V1767",7,1,5,7,3,1,2,4,5,6
"V1768",2,3,10,3,10,10,3,2,6,7
"V1769",10,3,6,3,3,3,8,1,3,3
"V1770",3,1,6,10,3,6,3,2,8,9
"V1771",9,2,7,4,10,9,3,6,4,3
"V1772",10,6,10,1,5,9,5,10,7,5
"V1773",2,2,8,7,1,5,9,6,9,3
"V1774",10,1,3,8,3,2,9,1,2,8
"V1775",4,4,5,10,3,8,1,4,7,10
"V1776",5,5,2,2,4,6,1,1,6,4
"V1777",5,7,8,1,6,10,6,2,6,5
"V1778",3,8,3,7,8,10,9,1,9,7
"V1779",4,7,8,2,10,5,6,6,7,10
"V1780",5,10,10,4,4,3,4,1,9,4
"V1781",9,3,5,1,5,3,1,1,10,9
"V1782",8,10,10,7,3,3,5,7,9,6
"V1783",2,4,6,2,5,8,10,3,10,7
"V1784",7,7,7,3,3,6,9,3,5,4
"V1785",5,7,6,4,9,9,2,8,1,10
"V1786",9,10,6,6,4,10,9,6,7,4
"V1787",3,4,7,9,5,2,8,7,1,3
"V1788",7,6,6,2,1,2,6,9,5,9
"V1789",9,2,9,5,10,9,8,6,2,9
"V1790",2,1,4,1,3,8,9,6,1,7
"V1791",4,1,10,9,2,10,3,9,8,9
"V1792",8,1,2,10,2,4,8,2,9,9
"V1793",8,2,3,9,10,7,3,4,6,5
"V1794",7,1,4,4,3,3,5,10,4,7
"V1795",5,2,10,3,10,2,6,2,6,1
"V1796",4,10,5,1,8,1,5,8,7,3
"V1797",1,9,6,7,7,5,9,9,8,7
"V1798",4,6,5,6,10,9,1,10,8,8
"V1799",7,5,9,7,9,8,7,5,2,5
"V1800",2,6,4,5,7,8,7,6,4,10
"V1801",7,3,8,7,5,2,7,1,5,2
"V1802",9,2,9,7,1,1,10,10,6,7
"V1803",9,6,10,5,8,6,2,1,2,3
"V1804",3,1,8,10,7,7,6,1,1,2
"V1805",9,9,1,4,1,9,5,8,6,8
"V1806",2,5,10,10,8,4,7,6,1,9
"V1807",3,1,1,2,3,7,1,3,7,4
"V1808",3,9,9,7,2,9,3,3,2,5
"V1809",8,6,1,2,8,7,6,6,6,4
"V1810",8,4,1,4,2,8,3,9,4,5
"V1811",2,6,3,9,6,10,10,3,7,5
"V1812",6,6,10,5,8,2,4,9,3,10
"V1813",6,6,3,1,7,4,5,4,3,9
"V1814",5,8,7,2,9,4,6,3,3,9
"V1815",2,3,5,5,3,9,8,9,3,8
"V1816",2,1,10,9,3,6,4,4,3,2
"V1817",4,2,7,6,5,2,6,7,2,3
"V1818",10,3,5,6,4,10,10,2,10,9
"V1819",10,9,2,6,8,4,9,8,5,10
"V1820",4,4,6,2,7,1,5,2,1,6
"V1821",6,3,7,5,9,9,2,6,7,5
"V1822",6,1,10,9,8,1,1,8,3,9
"V1823",2,7,8,3,5,10,2,4,8,3
"V1824",9,4,6,10,5,5,7,5,6,7
"V1825",8,4,7,1,4,6,1,1,10,8
"V1826",3,7,9,5,9,9,8,7,4,8
"V1827",10,10,9,10,5,9,1,4,8,3
"V1828",7,5,5,3,7,6,7,5,1,10
"V1829",8,2,3,9,9,7,8,8,6,1
"V1830",1,1,9,9,7,9,10,9,6,2
"V1831",7,10,8,4,10,9,4,7,1,5
"V1832",10,4,5,7,1,8,7,1,2,5
"V1833",6,1,8,5,8,7,2,1,8,10
"V1834",6,7,8,3,10,6,6,1,7,8
"V1835",10,3,8,1,10,1,10,2,5,4
"V1836",1,7,1,3,10,1,6,9,7,6
"V1837",10,3,3,10,5,1,2,9,4,1
"V1838",8,5,10,4,2,7,7,4,8,4
"V1839",10,9,2,9,8,10,2,3,1,5
"V1840",5,4,6,7,7,6,2,6,5,3
"V1841",7,2,9,6,5,7,4,8,2,7
"V1842",10,1,3,7,1,7,4,2,3,5
"V1843",3,5,10,10,4,5,5,10,2,3
"V1844",3,9,5,8,1,7,8,1,3,3
"V1845",3,7,10,8,9,2,2,3,1,9
"V1846",7,2,6,8,7,8,9,6,4,7
"V1847",8,4,8,5,7,1,7,2,4,4
"V1848",10,5,10,1,9,2,6,2,8,6
"V1849",9,3,1,8,3,2,7,8,9,7
"V1850",10,10,3,4,4,7,8,1,4,7
"V1851",6,5,2,2,8,9,1,6,1,6
"V1852",7,5,1,1,10,10,7,2,9,4
"V1853",1,9,6,5,9,9,3,7,10,4
"V1854",9,4,8,5,10,6,1,2,5,2
"V1855",3,5,3,1,4,8,5,8,9,8
"V1856",3,7,8,1,4,10,7,4,1,4
"V1857",8,1,8,6,2,8,10,9,2,3
"V1858",5,2,5,4,10,7,8,5,10,8
"V1859",9,6,3,7,3,10,10,8,6,3
"V1860",8,5,4,5,5,6,10,9,6,9
"V1861",3,6,7,7,10,6,9,4,8,1
"V1862",8,2,3,2,5,2,6,9,5,6
"V1863",10,10,4,8,2,5,10,1,10,9
"V1864",1,4,5,9,5,5,10,10,9,3
"V1865",6,2,9,4,2,5,8,7,3,4
"V1866",4,9,4,4,5,3,10,5,2,3
"V1867",10,4,1,1,5,1,1,8,9,1
"V1868",7,4,1,5,9,10,9,6,5,7
"V1869",2,9,9,2,1,3,6,6,1,5
"V1870",8,7,2,1,6,1,2,2,6,4
"V1871",6,3,9,1,1,3,5,4,1,9
"V1872",5,5,4,3,5,6,5,7,7,7
"V1873",10,1,3,3,6,7,8,4,7,2
"V1874",1,9,9,6,3,6,1,1,9,8
"V1875",8,10,9,10,9,5,3,6,6,5
"V1876",2,2,2,8,1,10,8,1,8,2
"V1877",1,8,9,10,9,9,8,5,10,5
"V1878",8,8,4,5,1,7,8,8,1,3
"V1879",4,9,6,8,7,1,1,6,6,9
"V1880",2,2,2,1,4,5,3,10,1,5
"V1881",6,7,5,10,1,1,7,5,9,5
"V1882",2,9,3,4,9,2,2,3,2,4
"V1883",9,8,10,4,7,6,6,10,4,6
"V1884",1,7,4,5,6,10,6,3,3,5
"V1885",4,4,2,6,7,1,1,8,3,5
"V1886",3,7,8,5,10,1,4,5,7,5
"V1887",9,3,8,6,9,7,4,5,8,3
"V1888",1,2,8,9,5,10,8,2,5,8
"V1889",7,2,6,10,10,3,9,9,5,7
"V1890",6,9,8,9,3,7,4,10,10,9
"V1891",6,7,9,9,1,9,9,6,7,6
"V1892",4,4,7,2,2,4,6,8,4,1
"V1893",10,8,7,3,7,5,5,9,7,9
"V1894",8,4,3,10,7,3,9,10,6,6
"V1895",3,3,3,3,8,7,10,10,6,6
"V1896",3,8,8,9,7,1,7,8,4,2
"V1897",10,2,8,7,6,1,8,6,8,3
"V1898",3,3,4,9,3,5,9,4,3,6
"V1899",6,3,6,10,6,5,5,4,2,3
"V1900",9,1,7,3,3,7,1,8,4,9
"V1901",1,8,2,7,9,5,9,10,3,9
"V1902",2,5,8,9,7,6,7,3,7,3
"V1903",4,10,5,10,9,10,6,6,2,4
"V1904",9,9,4,6,3,1,6,2,6,6
"V1905",9,2,6,7,3,6,8,10,5,5
"V1906",4,4,3,8,2,2,6,4,7,8
"V1907",7,6,3,3,7,7,6,10,10,3
"V1908",7,1,4,2,5,8,3,10,4,8
"V1909",8,8,2,5,2,3,4,10,8,5
"V1910",5,4,9,10,8,8,9,4,1,4
"V1911",2,1,4,5,4,5,6,4,3,3
"V1912",1,8,9,3,1,4,7,8,3,9
"V1913",3,7,6,10,1,3,7,5,9,4
"V1914",9,2,9,3,2,2,3,4,5,3
"V1915",10,9,7,8,2,9,3,9,1,10
"V1916",9,3,9,6,9,3,7,6,10,3
"V1917",5,7,8,6,10,10,3,9,5,10
"V1918",6,10,9,8,2,7,1,6,10,10
"V1919",9,5,8,10,1,3,9,8,9,8
"V1920",10,9,8,1,5,5,1,7,9,4
"V1921",5,6,7,3,2,3,7,10,4,8
"V1922",10,3,9,3,4,4,2,7,5,6
"V1923",7,10,1,6,4,9,3,6,3,4
"V1924",5,4,3,9,5,1,4,9,6,4
"V1925",9,5,8,10,1,2,8,6,3,2
"V1926",3,9,5,3,1,8,2,6,9,4
"V1927",1,10,5,9,2,5,5,4,1,5
"V1928",4,8,2,1,10,3,6,6,10,9
"V1929",6,9,9,8,7,3,5,4,2,2
"V1930",3,9,9,9,4,4,2,5,10,6
"V1931",7,3,2,3,8,6,1,8,6,2
"V1932",5,1,9,2,4,4,10,10,3,9
"V1933",4,6,9,4,7,2,7,3,5,2
"V1934",4,9,4,6,7,10,5,7,5,5
"V1935",6,6,3,10,8,7,3,5,3,5
"V1936",4,4,10,3,3,1,7,2,2,1
"V1937",5,8,4,2,7,9,1,10,8,2
"V1938",4,4,3,1,5,1,5,6,3,5
"V1939",10,4,1,4,3,4,10,5,6,3
"V1940",9,1,5,5,9,10,5,1,10,1
"V1941",3,1,1,1,9,5,8,9,7,4
"V1942",9,3,4,3,9,9,9,3,6,7
"V1943",1,9,2,9,5,1,3,8,10,5
"V1944",3,10,8,10,8,7,5,7,7,8
"V1945",2,5,6,1,2,3,6,3,10,8
"V1946",9,4,10,2,3,2,7,9,6,1
"V1947",4,4,10,8,4,6,7,1,4,4
"V1948",7,2,9,9,3,8,4,5,10,4
"V1949",6,5,5,5,8,9,4,2,10,1
"V1950",2,3,4,7,8,1,2,3,5,6
"V1951",6,4,10,7,10,4,6,8,4,1
"V1952",7,10,3,8,9,3,8,2,7,6
"V1953",8,4,3,9,4,10,1,2,2,8
"V1954",8,10,8,4,8,3,1,8,3,10
"V1955",1,10,1,6,2,1,4,7,10,6
"V1956",1,2,7,10,8,2,8,10,4,7
"V1957",2,4,8,2,2,10,5,10,6,3
"V1958",9,1,7,3,2,4,1,9,3,1
"V1959",6,2,7,5,9,6,2,3,3,8
"V1960",4,6,2,7,7,1,1,2,3,5
"V1961",7,2,6,10,2,10,3,7,10,7
"V1962",2,10,6,7,4,6,5,3,7,4
"V1963",8,8,1,9,8,5,5,9,6,5
"V1964",9,9,8,10,4,10,4,5,7,4
"V1965",7,5,5,5,8,8,10,5,5,1
"V1966",1,9,8,8,3,6,4,8,7,8
"V1967",6,1,7,6,4,8,5,10,9,4
"V1968",6,5,10,6,9,4,10,4,8,6
"V1969",7,1,4,9,5,7,5,10,8,9
"V1970",9,2,4,3,10,5,9,9,9,2
"V1971",10,5,3,10,6,3,10,4,7,1
"V1972",5,8,1,6,3,8,3,3,1,1
"V1973",7,2,7,7,4,6,5,2,8,5
"V1974",3,4,3,5,8,10,10,2,7,1
"V1975",1,9,7,9,2,8,4,2,2,6
"V1976",3,8,5,2,5,2,4,9,2,9
"V1977",10,2,8,7,1,7,8,2,7,4
"V1978",5,10,6,7,2,9,3,4,6,6
"V1979",6,8,4,4,6,7,5,5,2,6
"V1980",9,8,9,10,10,3,1,1,6,5
"V1981",10,3,10,6,9,9,7,3,2,10
"V1982",2,6,9,8,1,5,4,3,1,9
"V1983",5,7,7,6,5,4,3,8,2,10
"V1984",5,8,10,5,8,5,3,7,8,9
"V1985",10,9,1,1,2,7,7,10,3,9
"V1986",6,5,9,1,6,5,4,2,5,6
"V1987",7,8,5,10,3,8,7,7,3,7
"V1988",9,7,7,4,4,7,3,1,7,10
"V1989",6,9,7,6,10,5,2,2,5,7
"V1990",5,7,4,3,4,1,8,8,4,6
"V1991",9,4,3,8,4,4,3,10,7,2
"V1992",10,9,8,7,2,1,7,5,1,5
"V1993",5,5,1,3,10,1,7,6,10,3
"V1994",10,3,5,7,3,8,2,4,7,3
"V1995",9,1,4,3,10,2,2,4,1,10
"V1996",3,2,7,3,4,6,8,5,3,3
"V1997",1,2,6,4,1,5,4,8,5,2
"V1998",6,1,5,1,10,2,4,10,10,2
"V1999",6,5,8,4,7,8,2,9,1,2
"V2000",7,4,7,8,4,9,10,8,2,2
"V2001",5,6,4,3,5,4,3,1,7,1
"V2002",8,2,1,9,10,4,1,9,2,1
"V2003",8,10,7,9,9,7,5,5,10,4
"V2004",9,8,1,5,5,8,8,4,7,2
"V2005",6,7,7,6,8,10,2,7,4,8
"V2006",1,9,7,1,1,10,7,3,8,8
"V2007",10,1,1,4,4,3,1,9,4,5
"V2008",4,8,7,6,9,3,7,10,9,5
"V2009",2,8,8,6,10,1,7,7,6,4
"V2010",10,7,10,10,6,8,8,4,4,2
"V2011",5,5,10,10,5,6,2,10,8,3
"V2012",2,1,9,8,8,8,7,9,10,6
"V2013",10,2,1,7,10,5,3,10,4,5
"V2014",1,9,5,7,8,3,7,10,1,4
"V2015",2,9,4,6,4,10,8,2,6,10
"V2016",7,10,8,5,7,3,4,2,4,9
"V2017",1,3,7,9,10,3,9,10,4,6
"V2018",9,2,5,10,1,5,3,2,6,5
"V2019",9,10,8,4,5,8,3,7,4,1
"V2020",2,10,8,5,7,8,5,5,2,3
"V2021",4,7,4,6,1,6,1,2,6,4
"V2022",9,8,10,6,7,5,4,6,6,4
"V2023",2,7,9,7,6,1,10,5,4,1
"V2024",1,4,6,1,5,4,3,8,9,9
"V2025",3,5,4,6,2,1,9,10,2,2
"V2026",5,4,7,2,9,9,10,1,3,9
"V2027",5,1,10,2,10,5,10,8,10,3
"V2028",9,2,6,2,7,8,8,7,9,6
"V2029",1,5,6,4,3,9,9,5,10,6
"V2030",9,4,3,1,4,6,6,10,2,10
"V2031",1,1,4,5,2,7,8,10,7,10
"V2032",10,3,10,8,8,3,9,6,3,8
"V2033",10,10,10,10,5,9,2,3,9,1
"V2034",7,9,1,10,6,1,6,7,5,3
"V2035",9,10,10,10,2,10,1,10,3,8
"V2036",9,1,7,3,7,4,4,5,6,2
"V2037",5,8,4,4,4,1,3,9,2,9
"V2038",4,5,7,6,10,10,8,2,2,9
"V2039",2,4,2,2,8,3,10,4,1,6
"V2040",5,2,1,1,1,2,6,5,1,6
"V2041",10,4,8,6,5,5,5,3,9,4
"V2042",6,4,5,7,3,10,5,7,7,4
"V2043",6,7,4,5,9,8,7,2,4,2
"V2044",7,8,7,1,3,2,1,7,8,2
"V2045",7,8,1,3,9,10,7,6,10,2
"V2046",1,10,2,3,8,7,8,8,6,6
"V2047",7,5,4,5,8,4,4,3,8,10
"V2048",7,1,3,8,4,10,3,9,8,2
"V2049",5,1,6,1,8,5,7,5,1,3
"V2050",1,4,9,1,2,5,3,2,8,3
"V2051",1,2,9,3,6,9,5,7,5,10
"V2052",10,7,9,8,3,4,1,4,3,10
"V2053",6,8,3,9,2,10,2,9,5,7
"V2054",3,9,4,8,6,3,1,8,4,6
"V2055",5,5,4,8,10,1,8,3,3,1
"V2056",4,9,6,10,1,6,4,9,1,5
"V2057",4,8,10,9,6,4,4,2,7,5
"V2058",9,7,8,6,6,6,7,5,5,9
"V2059",7,2,7,4,1,5,10,2,6,6
"V2060",1,5,9,4,9,3,1,2,2,7
"V2061",9,2,4,6,7,2,3,8,3,5
"V2062",3,1,6,4,3,4,9,7,10,3
"V2063",6,7,7,2,3,9,5,6,3,10
"V2064",5,6,10,10,5,3,2,5,6,8
"V2065",2,1,2,1,9,8,10,10,7,5
"V2066",3,10,6,6,2,3,7,4,6,9
"V2067",6,1,6,5,6,4,3,1,2,4
"V2068",1,4,1,10,4,6,1,4,9,4
"V2069",7,7,2,5,5,5,5,7,9,3
"V2070",10,10,6,7,10,7,6,3,7,4
"V2071",3,7,4,8,5,2,9,10,4,9
"V2072",8,3,10,2,3,1,3,3,9,7
"V2073",7,9,1,9,1,4,6,7,10,4
"V2074",4,6,5,10,9,2,9,1,6,2
"V2075",8,5,5,1,8,10,8,10,3,6
"V2076",8,2,5,7,9,1,3,5,6,6
"V2077",6,10,7,7,5,7,9,10,8,5
"V2078",8,4,3,7,5,7,6,1,5,5
"V2079",1,2,2,1,5,5,9,10,10,7
"V2080",5,2,10,2,1,2,10,2,8,1
"V2081",9,3,5,7,9,1,6,6,1,3
"V2082",6,1,6,4,4,2,9,4,7,2
"V2083",5,1,4,10,1,5,9,6,1,9
"V2084",10,6,6,7,2,9,2,6,8,4
"V2085",3,5,7,4,4,4,7,10,6,1
"V2086",5,3,8,2,10,9,3,7,5,10
"V2087",10,4,4,3,2,8,3,6,4,6
"V2088",5,5,1,1,1,2,10,1,9,9
"V2089",1,7,10,10,10,1,5,7,8,7
"V2090",7,4,10,2,6,1,3,3,10,1
"V2091",1,1,5,9,10,8,9,6,10,8
"V2092",2,3,1,4,1,1,6,7,7,2
"V2093",3,1,2,10,2,3,4,3,6,6
"V2094",6,8,1,3,2,7,7,3,4,2
"V2095",2,4,9,3,5,2,10,3,2,3
"V2096",3,8,1,9,7,1,6,2,8,1
"V2097",2,1,10,6,2,4,3,7,2,10
"V2098",10,4,6,3,7,5,8,3,2,4
"V2099",1,8,8,8,8,7,5,1,4,3
"V2100",10,2,5,7,4,9,9,2,1,6
"V2101",7,5,2,4,7,2,9,9,7,10
"V2102",6,4,3,7,6,6,5,6,9,1
"V2103",9,3,7,8,3,8,7,1,7,10
"V2104",2,8,9,6,6,4,9,9,1,3
"V2105",1,3,8,8,7,2,8,4,9,7
"V2106",9,10,7,2,9,2,2,8,6,5
"V2107",8,9,6,8,10,3,7,5,2,7
"V2108",6,4,10,8,2,7,6,3,5,8
"V2109",4,7,5,2,3,7,2,7,3,6
"V2110",8,3,1,8,6,2,7,4,10,10
"V2111",8,2,10,5,7,4,6,2,9,8
"V2112",3,7,5,6,5,10,4,4,2,6
"V2113",5,3,3,10,4,9,8,9,6,2
"V2114",4,4,9,5,7,1,7,10,4,7
"V2115",10,1,1,4,5,2,7,9,7,9
"V2116",9,6,7,8,7,3,5,1,6,4
"V2117",4,6,7,1,8,2,4,7,9,4
"V2118",5,3,1,2,1,5,4,1,10,10
"V2119",7,8,7,2,8,2,6,10,9,4
"V2120",4,8,10,5,7,7,6,9,1,2
"V2121",5,2,3,7,10,3,8,5,5,9
"V2122",2,9,10,2,8,7,5,2,1,5
"V2123",3,9,8,3,3,2,7,8,2,9
"V2124",4,10,3,7,1,9,6,8,1,9
"V2125",8,3,2,9,8,2,2,8,3,10
"V2126",9,9,3,9,7,2,4,8,3,8
"V2127",2,2,9,9,10,4,8,7,10,9
"V2128",10,10,1,2,6,10,4,1,5,9
"V2129",4,5,1,2,6,1,3,1,2,1
"V2130",5,1,5,5,6,3,10,9,4,2
"V2131",5,4,2,10,3,2,9,10,4,1
"V2132",1,7,1,8,7,1,4,4,7,2
"V2133",10,1,6,5,4,2,8,10,10,6
"V2134",8,9,7,9,9,6,9,4,10,2
"V2135",4,3,10,6,4,7,2,1,4,1
"V2136",6,4,10,10,1,7,3,1,1,8
"V2137",9,9,6,4,7,9,1,5,4,1
"V2138",2,1,1,4,10,7,3,6,5,3
"V2139",5,10,9,6,10,1,6,9,3,3
"V2140",8,3,3,7,7,9,10,4,7,6
"V2141",1,1,9,4,3,7,8,5,1,6
"V2142",6,9,3,6,8,5,6,9,6,3
"V2143",4,8,1,8,3,8,2,10,9,5
"V2144",7,10,3,1,2,10,2,7,8,2
"V2145",4,4,10,9,4,8,8,4,6,6
"V2146",2,3,6,6,5,2,6,6,6,9
"V2147",5,2,9,10,10,4,7,2,5,3
"V2148",7,8,5,1,10,8,9,2,7,9
"V2149",3,2,8,7,5,4,4,2,2,2
"V2150",1,6,2,5,1,6,4,3,5,3
"V2151",9,4,7,2,6,8,8,4,1,7
"V2152",4,5,3,7,3,1,10,4,9,10
"V2153",6,4,10,4,9,10,8,10,3,6
"V2154",2,7,6,2,6,10,7,5,9,4
"V2155",7,6,10,6,5,3,8,10,9,9
"V2156",8,3,9,2,9,9,8,9,8,6
"V2157",2,10,6,2,3,9,9,5,1,7
"V2158",9,5,6,8,7,6,8,2,10,6
"V2159",5,3,3,5,10,2,6,5,6,4
"V2160",7,3,3,2,6,4,3,8,5,4
"V2161",9,5,4,4,1,8,7,2,6,8
"V2162",6,9,4,10,6,2,1,2,4,9
"V2163",4,3,4,1,5,2,1,4,10,6
"V2164",1,4,8,7,3,10,10,6,9,5
"V2165",2,4,8,8,9,10,6,3,5,2
"V2166",3,10,10,4,7,10,3,6,9,5
"V2167",1,8,8,4,4,2,9,8,6,6
"V2168",1,10,3,5,8,3,1,8,8,6
"V2169",4,6,10,8,3,7,2,3,7,7
"V2170",10,9,9,5,1,8,5,6,2,2
"V2171",2,2,3,10,6,1,3,2,2,4
"V2172",8,4,7,10,6,8,5,1,1,5
"V2173",8,4,8,10,1,8,5,3,9,4
"V2174",3,9,9,4,5,2,7,10,3,8
"V2175",7,8,9,3,6,4,1,8,7,6
"V2176",5,8,6,1,6,6,1,5,7,6
"V2177",1,10,9,5,3,6,3,4,3,5
"V2178",5,3,10,3,4,1,2,3,8,5
"V2179",3,9,10,10,6,6,6,4,1,7
"V2180",1,6,9,8,7,6,8,3,9,5
"V2181",6,5,6,3,3,6,6,5,4,5
"V2182",5,5,1,6,1,3,5,7,10,3
"V2183",1,6,9,7,7,1,5,10,1,9
"V2184",3,10,3,10,6,8,2,1,1,9
"V2185",5,3,4,7,3,2,3,1,7,7
"V2186",2,8,2,8,2,4,1,4,7,1
"V2187",3,5,3,3,10,6,3,4,7,6
"V2188",9,3,6,4,10,1,8,5,8,6
"V2189",10,6,8,6,3,9,7,6,4,7
"V2190",8,7,6,6,9,1,7,2,4,6
"V2191",4,2,4,5,6,6,3,3,2,7
"V2192",7,8,4,8,1,9,1,7,2,8
"V2193",2,10,3,2,3,3,2,7,1,5
"V2194",3,3,4,7,7,8,6,3,3,1
"V2195",7,10,1,6,10,9,2,5,7,7
"V2196",6,7,7,8,5,2,7,6,6,5
"V2197",6,9,4,6,4,3,2,1,4,1
"V2198",3,10,3,1,1,6,3,6,2,9
"V2199",8,1,5,9,3,8,6,3,9,1
